category,doi,year,venue,title,evidence_level,support_from_abstract_or_metadata
foundation_tool,10.1186/s13643-016-0384-4,2016,Systematic Reviews,Rayyan—a web and mobile app for systematic reviews,tool/platform evidence,Screening collaboration tool frequently surfaced as automation-adjacent systematic review infrastructure
extraction_review,10.1186/s13643-015-0066-7,2015,Systematic Reviews,Automating data extraction in systematic reviews: a systematic review,systematic review,Directly reviews automated data extraction methods for systematic reviews
ai_workload,10.3389/fphar.2025.1454245,2025,Frontiers in Pharmacology,How much can we save by applying artificial intelligence in evidence synthesis? Results from a pragmatic review to quantify workload efficiencies and cost savings,pragmatic review,Quantifies workload and cost savings claims for AI-assisted evidence synthesis
llm_surveillance,10.21203/rs.3.rs-9308492/v1,2026,Research Square,A Living Systematic Review Engine: LLM-Automated Evidence Surveillance Validated Against a Published Meta-Analysis of Statins for Sepsis,preprint validation study,Tests LLM automated evidence surveillance against an existing statins-for-sepsis meta-analysis
screening_gpt,10.1136/bmjment-2025-301762,2025,BMJ Mental Health,Development and evaluation of prompts for a large language model to screen titles and abstracts in a living systematic review,evaluation study,Evaluates prompt design for LLM title/abstract screening in living systematic review context
gen_ai_review,10.1017/rsm.2025.16,2025,Research Synthesis Methods,Generative artificial intelligence use in evidence synthesis: A systematic review,systematic review,Reviews generative AI uses across evidence synthesis tasks
automated_meta_analysis_review,10.1017/rsm.2025.10065,2025,Research Synthesis Methods,Transforming evidence synthesis: A systematic review of the evolution of automated meta-analysis in the age of AI,systematic review,Directly surveys automated meta-analysis evolution in AI era
cochrane_methods,10.1002/cesm.70046,2025,Cochrane evidence synthesis and methods,Artificial Intelligence and Automation in Evidence Synthesis: An Investigation of Methods Employed in Cochrane Campbell Collaboration and Environmental Evidence Reviews,methods investigation,Assesses methods used in major evidence synthesis organizations
rapid_review_map,10.23970/ahrqepcwhitepapermachine2,2025,AHRQ EPC white paper,Machine Learning Tools To (Semi-)Automate Evidence Synthesis: A Rapid Review and Evidence Map,rapid review/evidence map,Maps ML tools for semi-automating evidence synthesis
protocol_data_extraction,10.1016/b978-0-443-13428-9.00007-0,2025,Systematic Review and Meta-Analysis,Data extraction,methods chapter,Relevant process guidance for data extraction step needing automation hooks
